country_name,date,start_time,end_time,total_runtime,links,pdf_count,update
Singapore,15-05-2023 17:38,,,,"['https://www.mfa.gov.sg/SINGAPORES-FOREIGN-POLICY/International-Issues/Cybersecurity', 'https://www.csa.gov.sg/News/Publications/singapore-cybersecurity-strategy-2021']",2,no

Latvia,10/8/2023 18:29,,,,"['https://www.mod.gov.lv/en/nozares-politika/cybersecurity', 'https://ccdcoe.org/library/strategy-and-governance/', 'https://www.mod.gov.lv/sites/mod/files/document/Kiberdrosibas%20strategija%202023%20ENG.pdf', 'https://www.enisa.europa.eu/topics/national-cyber-security-strategies/ncss-map/lv-ncss', 'https://eng.lsm.lv/article/society/defense/14.03.2023-latvian-government-agrees-cyber-security-strategy-until-2026.a500807/']",5,
Chile,11:07:52.215167,11:07:52.215167,11:07:52.215167,0:00:00,['https://www.bundeskanzleramt.gv.at/dam/jcr:537d3bae-ffed-4d49-803b-524d304b7972/islamgesetz_2015_tuerkisch_gesetzestext.pdf'],1

Colombia,12/08/2023,11:07:52.215167,11:07:52.223661,0:00:00.008494,['https://www.bundeskanzleramt.gv.at/dam/jcr:537d3bae-ffed-4d49-803b-524d304b7972/islamgesetz_2015_tuerkisch_gesetzestext.pdf'],1

Czech Republic,12/08/2023,11:07:52.223661,11:07:52.223661,0:00:00,['https://www.bundeskanzleramt.gv.at/dam/jcr:537d3bae-ffed-4d49-803b-524d304b7972/islamgesetz_2015_tuerkisch_gesetzestext.pdf'],1

Denmark,12/08/2023,11:07:52.225098,11:07:52.225098,0:00:00,['https://www.bundeskanzleramt.gv.at/dam/jcr:537d3bae-ffed-4d49-803b-524d304b7972/islamgesetz_2015_tuerkisch_gesetzestext.pdf'],1

Estonia,12/08/2023,11:07:52.225098,11:07:52.225098,0:00:00,['https://www.bundeskanzleramt.gv.at/dam/jcr:537d3bae-ffed-4d49-803b-524d304b7972/islamgesetz_2015_tuerkisch_gesetzestext.pdf'],1

Chile,12/08/2023,12:06:11.491541,12:09:20.296753,0:03:08.805212,"['https://www.privacyshield.gov/article?id=Chile-Safety-and-Security', 'https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Chile_NCSP%20%28ENG%29.pdf']",2

Colombia,12/08/2023,12:09:20.296753,14:52:59.227137,2:43:38.930384,"['https://www.dataguidance.com/opinion/colombia-cybersecurity', 'https://www.statista.com/statistics/1150728/colombia-cybersecurity-strategy-score-area/', 'https://nearshoreamericas.com/colombia-prepares-overhaul-cyber-security/', 'https://www.ventasdeseguridad.com/en/2022052322092/news/enterprises/decree-338-update-in-colombia-for-cybersecurity.html', 'https://www.trade.gov/market-intelligence/colombia-cybersecurity-outlook']",5

Czech Republic,14/08/2023,14:52:59.235621,15:20:49.532655,0:27:50.297034,"['https://www.govcert.cz/download/gov-cert/container-nodeid-578/ap-cs-2015-2020-en.pdf', 'https://nukib.cz/en/cyber-security/strategy-action-plan/', 'https://ccdcoe.org/uploads/2018/10/CS_organisation_CZE_032016.pdf', 'https://www.trade.gov/market-intelligence/czech-republic-cybersecurity', 'https://www.vlada.cz/assets/ppov/brs/dokumenty/security_strategy_1.pdf', 'https://www.mzv.cz/file/5119429/MZV_BS_A4_brochure_WEB_ENG.pdf']",6

Denmark,12/08/2023,15:20:49.539444,16:34:44.367513,1:13:54.828069,"['https://digst.dk/media/27024/digst_ncis_2022-2024_uk.pdf', 'https://fmn.dk/en/topics/cyber-security/danish-national-strategy/', 'https://en.digst.dk/strategy/the-danish-national-strategy-for-cyber-and-information-security/', 'https://cfcs.dk/en/about-us/danish-cyber-and-information-security-strategy/']",4

Estonia,12/08/2023,16:34:44.374230,16:37:34.375999,0:02:50.001769,"['https://www.enisa.europa.eu/topics/national-cyber-security-strategies/ncss-map/strategies/cyber-security-strategy/@@download_version/993354831bfc4d689c20492459f8a086/file_en', 'https://www.mkm.ee/media/703/download', 'https://www.ria.ee/media/2702/download', 'https://www.enisa.europa.eu/topics/national-cyber-security-strategies/ncss-map/Estonia_Cyber_security_Strategy.pdf']",4

Finland,12/08/2023,17:27:26.744229,17:40:31.384834,0:13:04.640605,"['https://valtioneuvosto.fi/en/-//1410869/report-finland-s-cyber-security-must-be-developed-systematically-cooperation-of-the-authorities-and-processes-require-further-improvement', 'https://www.enisa.europa.eu/topics/national-cyber-security-strategies/ncss-map/FinlandsCyberSecurityStrategy.pdf', 'https://eucpn.org/document/finnish-policy-on-cybercrime-0', 'https://turvallisuuskomitea.fi/en/finlands-cyber-security-strategy-2019/', 'https://www.defmin.fi/files/2378/Finland_s_Cyber_Security_Strategy.pdf', 'https://turvallisuuskomitea.fi/wp-content/uploads/2019/10/Kyberturvallisuusstrategia_A4_ENG_WEB_031019.pdf', 'https://um.fi/cyber-security-and-the-cyber-domain']",7

